row_no,award_id,oi_name,host_organization,grant_title,grant_description,recipient,award_supercat,award_cat
28,2025364,"[""Dryad""]","[""Dryad (independent 501(c)3)""]","Accelerating Open and FAIR Data Practices Across the Earth, Space, and Environmental Sciences: A Pilot with the NSF to Support Public Access to Research Data","This project implements FAIR data practices across the Earth, space, and environmental sciences. By the end of the project, data citations for data funded by NSF EAR grants are captured in the NSF Public Access Repository (NSF PAR) and knowledge of leading practices and workflows around data citation are well known across the AGU community.  This project, funded as a pilot activity for the NSF PAR system, will have the outcome of strengthening the ecosystem for data in support of publications. &lt;br/&gt; &lt;br/&gt;AGU will work with its publishing partner Wiley to ensure that data citations are tracked and exposed in articles.  CHORUS will develop technical connections with Scholix to obtain data citation information to augment its publication information that it makes available to NSF.   AGU will join Dryad as a member and use the Dryad repository as a location for data deposit when a discipline specific repository is unavailable.  Outreach activities targeting awareness and adoption will be organized through AGU and ESIP’s Data FAIR workshops at scientific meetings, journal society meetings, and repository community meetings.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",American Geophysical Union,ADOPT,ADOPT
29,imls:log_number::MN-00-17-0020-17,"[""Mukurtu""]","[""Washington State University""]",,"The Tribal Memories Project will enhance and increase knowledge about Makah culture and history by preserving at least 400 treasured community photographs and digitally restoring at least 200 of them. This project will promote collection stewardship and increase educational opportunities for museum visitors and community members through a photo exhibit and quarterly PowerPoint presentations featuring the digitized images. Programming will provide a forum for the community to engage and become active participants in learning and sharing traditional knowledge with others. Approved images and metadata will be uploaded on the web-based program titled, Mukurtu, to increase access to the image collections.",Makah Indian Tribe,ADJACENT,ADJACENT
30,,"[""Zenodo""]","[""CERN""]",,,CERN,DIRECT,OTHER
31,360g::360G-Wellcome-108758_Z_15_Z,"[""Europe PMC""]","[""EMBL-EBI (European Molecular Biology Laboratory)""]",The continued support of the Europe PMC infrastructure.,Not available,European Bioinformatics Institute,DIRECT,OPERATIONS
32,,"[""Open Science Framework (OSF)""]","[""Center for Open Science (501(c)(3) nonprofit)""]",,"To help foster open, reliable, and rigorous scientific research.",Center for Open Science,DIRECT,OTHER
33,R03MH131955,"[""Open Science Framework (OSF)""]","[""Center for Open Science (501(c)(3) nonprofit)""]",,"INDIVIDUAL DIFFERENCES IN MEMORY GENERALIZATION - PROJECT SUMMARY MEMORY ALLOWS US TO REMEMBER SPECIFIC DETAILS OF PAST EVENTS. MEMORY ALSO ALLOWS US TO BUILD COMPLEX KNOWLEDGE AND GENERALIZE TO NEW SITUATION, BY INTEGRATING INFORMATION ACQUIRED ACROSS SEVERAL EXPERIENCES. WHILE HIPPOCAMPUS HAS BEEN LONG KNOWN TO SUPPORT MEMORY SPECIFICITY, MORE RECENT INTERESTS HAVE FOCUSED ON THE HIPPOCAMPAL ROLE IN MEMORY INTEGRATION AND GENERALIZATION. TO WHAT DEGREE MEMORY GENERALIZATION RELIES ON UNIQUE MECHANISMS, DISTINCT FROM THE ABILITY TO REMEMBER SPECIFIC DETAILS, IS A MATTER OF MUCH DEBATE. FURTHERMORE, SPECIFICITY-GENERALIZATION DISSOCIATIONS MAY EXIST ALONG THE LONG AXIS OF THE HIPPOCAMPUS, ACROSS THE HIPPOCAMPAL SUBFIELDS, OR THROUGH HIPPOCAMPAL INTERACTIONS WITH DISTINCT CORTICAL REGIONS. A KEY CHALLENGE IN RESOLVING AMONG CURRENT THEORIES AND DESIGNING NEW WAYS TO TEST THEM IS THAT GENERALIZATION HAS BEEN MEASURED USING A RANGE OF TASKS, BUT WHETHER THEY CAPTURE THE SAME UNDERLYING MECHANISM HAS NOT BEEN EVALUATED. ESTABLISHING A COMMON DENOMINATOR (OR A DISTINCTION) ACROSS GENERALIZATION STUDIES IS A CRITICAL STEP TOWARDS RECONCILING RESULTS FROM ISOLATED LINES OF RESEARCH AND INFORMING FUTURE RESEARCH OF HIPPOCAMPAL-BASED GENERALIZATION. INDIVIDUAL DIFFERENCES PROVIDE A UNIQUE MEANS TO UNCOVER THE DEGREE TO WHICH DIFFERENT TASKS RELY ON SHARED OR DISTINCT UNDERLYING COGNITIVE PROCESSES. IN THE PROPOSED R03 SMALL PROJECT GRANT, PARTICIPANTS (N=200) WILL COMPLETE A RANGE OF MEMORY TASKS, INCLUDING SEVERAL PUTATIVE MEMORY GENERALIZATION AND PUTATIVE MEMORY SPECIFICITY MEASURES TYPICALLY USED IN DIFFERENT LABS. THE PRIMARY PROPOSED ANALYSES WILL REVEAL THE DEGREE TO WHICH DISTINCT GENERALIZATION TASKS MEASURE THE SAME MEMORY GENERALIZATION CAPABILITY AND THE DEGREE TO WHICH MEMORY GENERALIZATION ABILITY IS DISSOCIABLE FROM THE ABILITY TO REMEMBER SPECIFIC DETAILS. THE WORK WILL YIELD A RICH DATASET THAT WILL BE FREELY SHARED ON OPEN SCIENCE FRAMEWORK (OR EQUIVALENT) PLATFORM AND THAT CAN BE QUERIED FOR MANY QUESTIONS. EASY-TO-USE AND DOCUMENTED CODE FOR COLLECTING EACH MEMORY MEASURE WILL BE SHARED WITH THE DATA FOR ANY LAB TO ADOPT. BY ESTABLISHING EQUIVALENCY OR DISTINCTIONS AMONG DIFFERENT MEMORY MEASURES, THE RESULTS WILL SUPPORT INFORMED SYNTHESIS OF EXISTING WORK AND FACILITATE CROSSPOLLINATION OF IDEAS ACROSS LABS. DISSOCIATING SPECIFICITY AND GENERALIZATION PROCESSES WITHIN EACH TASK AND ESTABLISHING VALIDATED GENERALIZATION MEASURES WILL PAVE WAY FOR FUTURE NEUROIMAGING RESEARCH TESTING CURRENT GENERALIZATION THEORIES. MORE BROADLY, THE RESULTS WILL INFORM CURRENT THEORIES OF MEMORY FUNCTION AND MAY HELP SHED LIGHT ON MIXED PATTERNS OF MEMORY SPECIFICITY AND GENERALIZATION IMPAIRMENTS IN NEUROLOGICAL DISEASES, ANXIETY, DEPRESSION, AUTISM, OR FOLLOWING A STROKE.",[UNIVERSITY OF OREGON],ADJACENT,ADJACENT
34,chanzuckerberg::a0C1K00000ZScwq,"[""pyOpenSci""]","[""Community Initiatives""]",,for core support of pyOpenSci,Community Initiatives,DIRECT,OPERATIONS
35,wt__________::ce1713690627261f603d79f956b6b29c,"[""Europe PMC""]","[""EMBL-EBI (European Molecular Biology Laboratory)""]",Europe PMC 2021-2026,"In the next five years, the necessity for open science to solve global challenges will become increasingly apparent, and the need for Europe PMC as a critical piece of infrastructure will crystallise in the minds and usage patterns of researchers. The world of scientific publishing will undergo major changes, as routes for rapid and transparent publishing emerge, and efforts such as Plan S push towards universal open access. Europe PMC will support these goals by aggregating millions of articles and making them widely available. With a leading role in preprint aggregation and standards development, Europe PMC will be the go-to resource for searching life sciences literature from publication through review, revision, and citation. Publications at all stages need to be grounded in unambiguous links to supporting data, authors and reviewers, funding, and institutions, to build transparency and trust in the content; building these links will be a major direction for Europe PMC. Finally, transformative change in content search and retrieval will come from the development of AI methods that work on open access full text, encouraged by the Europe PMC platform for text and data mining, as well as the demonstration of machine learning benefits in user interfaces.","[EUROPEAN MOLECULAR BIOLOGY LABORATORY,European Molecular Biology Laboratory,European Bioinformatics Institute]",DIRECT,RESEARCH & DEVELOPMENT
36,corda_____he::1157fc930726ef92fc56b8964a1a2e5b,"[""Zenodo""]","[""CERN""]",EU research programme beneficiary depositing solution in Zenodo,"A specific aim of EUâ€™s Open Science policy is to require all publicly funded research data to be FAIR (Findable, Accessible, Interoperable, Reusable) and open by default, and itâ€™s even a contractual requirement for Horizon Europe beneficiaries. Despite large efforts, FAIR in practice is difficult for programme beneficiaries. EU has over the past 10 years funded Zenodo, an open data repository built by CERN, to help beneficiaries comply with first open access, and then open data contractual requirements. This grant capitalizes on past investments made in Zenodo and helps EC programme beneficiaries comply with the new FAIR and open science requirements, by implementing an easy go-to solution in Zenodo for beneficiaries to make data FAIR in practice.

HORIZON-ZENâ€™s overarching aim is to provide the ECâ€™s programme beneficiaries with enhanced depositing services for digital research objects that are FAIR-enabling and compliant with Horizon Europe requirements, and to establish best practices for how scientific repositories can support the implementation of FAIR data principles by leading by example. This will be achieved by enhancing Zenodo with FAIR-enabling capabilities that support programme beneficiaries during the depositing of research outputs and by leveraging Zenodoâ€™s simple and seamless user experience.",[European Organization for Nuclear Research],DIRECT,RESEARCH & DEVELOPMENT
37,F32HD106705,"[""Open Science Framework (OSF)""]","[""Center for Open Science (501(c)(3) nonprofit)""]",,"REPRESENTING HUMAN DIFFERENCE: TESTING HOW BELIEFS ABOUT SOCIAL CATEGORIES FORM IN DEVELOPMENT - PROJECT SUMMARY THIS PROJECT WILL EXAMINE HOW CHILDREN’S BELIEFS ABOUT SOCIAL CATEGORIES DEVELOP USING EXPERIMENTAL STUDIES AND MODEL-BASED ANALYSIS. DURING DEVELOPMENT, CHILDREN LEARN TO THINK OF PEOPLE AS MEMBERS OF CATEGORIES: TEACHER, WOMAN, REPUBLICAN, MUSLIM, NEW ENGLANDER, AND WHITE ARE BUT A FEW EXAMPLES. CHILDREN ALSO FORM BELIEFS ABOUT WHY MEMBERS OF THESE CATEGORIES ARE THE WAY THEY ARE: FOR EXAMPLE, CHILDREN MIGHT BELIEVE BOYS AND GIRLS PLAY WITH DIFFERENT TOYS BECAUSE THEY WERE BORN THAT WAY (WHAT WE CALL NATURAL DETERMINATION) OR CHILDREN MIGHT BELIEVE THAT BOYS AND GIRLS WERE MOSTLY TAUGHT THOSE PREFERENCES (WHAT WE CALL SOCIAL CONSTRUCTION). THE PURPOSE OF THIS PROJECT IS TO UNDERSTAND WHAT LEADS CHILDREN TO INFER NATURAL DETERMINATION OR SOCIAL CONSTRUCTION. TO ADVANCE UNDERSTANDING OF HOW THESE BELIEFS DEVELOP, WE NEED TO ANSWER THREE QUESTIONS: (1) WHAT ARE CHILDREN’S INITIAL IMPRESSIONS OF SOCIAL CATEGORIES? 2) HOW DO CHILDREN INTERPRET WHAT ADULTS SAY ABOUT SOCIAL CATEGORIES? (3) HOW DO CHILDREN REVISE THEIR INITIAL IMPRESSIONS IN THE PRESENCE OF ADULT SPEECH? TO ANSWER THESE QUESTIONS, WE HAVE THREE AIMS: AIM 1 WILL TEST NOVEL SOCIAL CATEGORIES MARKED BY EXTRINSIC CUES (E.G., CLOTHING AND ACCESSORIES) OR INTRINSIC CUES (E.G., SKIN COLOR AND FACE SHAPE). WE WILL MEASURE CHILDREN’S BASELINE BELIEFS ABOUT CATEGORIES MARKED BY THESE TWO CUES. WE THEN NEED TO KNOW WHAT CHILDREN INFER BASED ON WHAT ADULTS SAY ABOUT SOCIAL CATEGORIES. AIM 2 WILL EXPLORE GENERIC LANGUAGE, WHICH IS LANGUAGE THAT MAKES GENERALIZATIONS ABOUT CATEGORY MEMBERS: E.G., “BOYS LIKE BLUE.” WE WILL VARY WHETHER ADULTS USE GENERIC LANGUAGE ABOUT BIOLOGICAL PROPERTIES (“THEY ARE LACTOSE INTOLERANT”), CULTURAL PROPERTIES (“THEY BELIEVE THE SUN IS THEIR GOD”), OR SOME COMBINATION OF BOTH. FINALLY, WE NEED TO KNOW HOW CHILDREN REVISE THEIR BELIEFS IN RESPONSE TO ADULT SPEECH. AIM 3 WILL USE MODEL-BASED ANALYSIS TO QUANTITATIVELY DESCRIBE HOW CHILDREN UPDATE THEIR BASELINE BELIEFS ABOUT CATEGORIES USING THEIR INTERPRETATION OF EVIDENCE FROM LANGUAGE. THE PROPOSED RESEARCH SEEKS TO RECONCILE EVIDENCE THAT CHILDREN OFTEN INFER NATURAL DETERMINATION AND EVIDENCE THAT CHILDREN FLEXIBLY CONSIDER MULTIPLE HYPOTHESIS ABOUT SOCIAL CATEGORIES DURING DEVELOPMENT. SPECIFICALLY, THE PROJECT PURSUES AN ACCOUNT IN WHICH CHILDREN’S PROBABILISTIC WORLD KNOWLEDGE LEADS THEM TO INFER NATURAL DETERMINATION MORE OFTEN THAN SOCIAL CONSTRUCTION EVEN THOUGH THE UNDERLYING COGNITIVE PROCESSES RESPONSIBLE FOR THEIR INFERENCES ARE FORMALLY UNBIASED. INDEPENDENT OF THIS SPECIFIC ACCOUNT, A COMPUTATIONAL MODEL OF HOW CHILDREN’S BELIEFS ABOUT SOCIAL CATEGORIES DEVELOP WOULD SUBSTANTIALLY ADVANCE THEORY. IT WOULD ALSO AID INTERVENTIONS AIMED AT REDUCING HARMFUL BELIEFS CHILDREN CAN DEVELOP ABOUT SOCIAL CATEGORIES. TO THIS END, WE DESIGNED EXPERIMENTS THAT WILL GENERATE THE DATA NECESSARY TO DEVELOP AND COMPARE COMPUTATIONAL MODELS. THE USE OF THE ONLINE LAB TO REACH FAMILIES FROM ACROSS THE UNITED STATES WILL MAXIMIZE THE GENERALIZABILITY OF THIS PROJECT’S FINDINGS. BY MAKING THIS DATA PUBLICLY ACCESSIBLE ON OPEN SCIENCE FRAMEWORK, OTHER RESEARCHERS CAN USE THE DATA FOR MODEL-BASED ANALYSIS TOO, WHICH WILL MAXIMIZE THE IMPACT OF THE PROPOSED EXPERIMENTS.",[NEW YORK UNIVERSITY],ADJACENT,ADJACENT
38,knight_foundation::349839,"[""PubPub""]","[""Knowledge Futures, Inc.""]",Supporting the Growth of Knowledge Futures Group,To support the growth of the Knowledge Futures Group's PubPub community publishing platform.&nbsp;,"Knowledge Futures Group, Inc.",DIRECT,RESEARCH & DEVELOPMENT
39,,"[""Open Journal Systems (OJS)""]","[""Simon Fraser University""]",,"The Open Access Cooperative (the Cooperative) is a new project, based at Stanford University, designed to help authors, libraries, and scholarly societies transition from subscription-based publishing to open access publishing. The Cooperative develops and tests economic models and software for open access publishing, and is headed by John Willinsky, founder of the Public Knowledge Project (PKP), which currently supports over 8,000 open access journals. If successful, this project will enable scholars, scholarly societies, libraries and others to control their works and their collections, and to make them broadly available worldwide at no cost to readers. Grant funds will be used to support software development and economic modeling, and to pilot projects with two or more groups of academic journals, one focused on economics, the other on anthropology.",Stanford-GSE,ADOPT,ADOPT
40,ukri________::96a00412d8e9bb42fd9a0797ce6c21bb,"[""Fedora""]","[""Lyrasis""]",ADS+: Enhancing and Sustaining the Archaeology Data Service digital repository,"The Archaeology Data Service (ADS) supports research, learning and teaching with high quality and dependable digital resources. It does this by preserving digital data in the long term, and by promoting and disseminating a broad range of data in archaeology. The ADS promotes good practice in the use of digital data in archaeology, it provides technical advice to the research community, and supports the deployment of digital technologies. It was founded in 1996 and has received support from AHRB/AHRC since 1998.\n\nThe ADS now holds over one million metadata records providing pointers to digital resources covering the archaeology of the UK. It also holds the digital outputs of 25 AHRB/AHRC funded research projects, along with over 250 digital archives from projects funded by other bodies, including English Heritage, CADW, Historic Scotland, NERC, and the British Academy. These holdings represent primary data from unrepeatable excavations and research. They are essential to support the research environment of Archaeology in the UK, both in the academic sector, and beyond.\n\nSince its foundation ADS has developed a robust repository infrastructure, based around an Oracle database, a Java-based Collections Management system, and a suite of Unix servers, with onsite and offsite backup, and synchronization with the UK Data Archive in Essex. However, as ADS holdings have grown in size and number, and user expectations have also increased, this technical infrastructure has become a constraint upon enhanced access to ADS collections and, in its current form, would be costly to extend and maintain in the long term.\n\nOver the last 2-3 years the digital preservation community has embraced a software application known as Fedora (or Flexible Extensible Digital Object Repository Architecture). Fedora is a digital asset management (DAM) architecture, upon which many types of digital library, institutional repositories, and digital archives, are now being built. The implementation of Fedora at ADS would streamline the long-term curation of existing archives and cut the cost of ingest of new archives. It would also enhance access to all ADS collections in an extremely powerful fashion. Currently, users can search for digital archives at collection level, and can then 'drill down' onto each archive to search for specific files of relevance to their particular research question. Fedora is structured around collections and individual files and would allow users to search across collections for individual digital objects. Therefore all ADS users would be enabled to search within and across archives, exploring and creating links between a wide range of rich digital resources. Furthermore, Fedora would also enhance the ability of ADS to allow external systems (including search engines such as Google, as well as other data aggregators) to interrogate and link to ADS holdings at the level of individual digital objects.\n\nHowever, whilst 'Out-of-the-box' Fedora includes the necessary software tools to ingest, manage, and provide basic delivery of objects it has few customised tools and requires extensive software development to tailor it to the data structures and user needs of specific archives. It is an Open Source solution, which means that whilst it is freely available to download and install, a specific implementation requires significant programming investment. The implementation of Fedora at ADS would also require significant migration of existing cataloguing data and metadata enhancement, if its full power is to be realised.\n\nThe ADS+ project therefore requests funding for two people - an Applications Developer and a Curatorial Officer - for one year, in order to turn ADS into a Fedora repository consistent with international ISO standards.\n",[University of York],ADOPT,ADOPT
41,mellon:grants::7749,"[""Fedora""]","[""Lyrasis""]",,to support the development of standards-based interoperability between the Plone content management system and standards-compliant institutional repositories such as Fedora and the California Digital Library,Northwestern University,ADJACENT,ADJACENT
42,2054061,"[""Open Science Framework (OSF)""]","[""Center for Open Science (501(c)(3) nonprofit)""]",CIBR Multispecies Ovary Tissue Histology Electronic Repository,"The Multispecies Ovary Tissue Histology Electronic Repository will provide public access to digitized microscopic images of ovary tissues along with information that ensures image integrity and quality.  Currently, there is no electronic repository of ovary histology slides that preserves these valuable research collections for future generations.  This repository will provide a web-accessible, open resource for scientists, educators, and the public to stimulate collaboration and scientific research.  Educators may use the slide images in a range of courses from reproductive biology to teaching computerized image analysis.&lt;br/&gt;&lt;br/&gt;Reproduction is vital for sustaining all living organisms, and multiple strategies exist among different species.  The long-term goals for this project are to increase reproductive science capacity and infrastructure; and to serve as a resource for educators. The tool builds upon existing openly available resources, e.g., the Open Science Framework, to foster data sharing and collaboration.  Metadata about each image ensures image quality and provides additional details about the animal and experimental design.  An initial set of species (i.e., hundreds of vertebrate species including non-human primates, other mammals, fishes, and amphibians) will be included with a long-term goal that scientists will contribute data from additional species.  Value-added data segmentation results will be made available along with the procedures used to generate the results.  Upon completion, The respository will facilitate comparative studies of ovarian development and folliculogenesis to better understand: reproductive strategies across species and inspire new ideas for ensuring the survival of threatened and endangered species; the similarities and differences between vertebrate species at the organ, tissue and cellular level; and mechanisms that can be encoded in predictive mathematical/computational models that can extract additional value from the existing data and may lead to the reduced use of experimental animals.  Biology is increasingly dependent upon quantitative data analysis, and this project should inspire computational thinking in biology broadly, while developing specific skills in microscopy, computer programming, and data and image analysis.  Research results may be obtained at: mother-db.org.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Arizona State University,ADJACENT,ADJACENT
43,corda__h2020::41c827114ae482f11ca0516a7ff376ea,"[""Europe PMC""]","[""EMBL-EBI (European Molecular Biology Laboratory)""]",Support towards the Europe PMC initiative-Contribution for 2014-2016,"The proposed action will provide continued support to the European Research Council (ERC) in the implementation of its Open Access strategy for projects funded in the Life Sciences domain. It follows on from the project ""Support towards the Europe PMC initiative-Contribution for 2013""(ERC-EuropePMC-SUP-2013) which has allowed the ERC to offer the benefits of Europe PMC to its funded researchers for the first time in 2013. The ERC Open Access strategy, and how the present project will assist the ERC in its implementation, is explained below",[Wellcome Trust],UNKNOWN,UNKNOWN
44,corda__h2020::af3c7ad2d3812fddb9a9b9999f774bfe,"[""DataCite""]","[""DataCite e.V.""]",Fostering FAIR Data Practices in Europe,"Now the H2020 EOSC pilot project has taken the first steps towards creating the blueprint for an open European Science Cloud, this proposal aims to supply practical solutions for the use of the FAIR data principles throughout the research data life cycle. Emphasis is on fostering FAIR data culture and the uptake of good practices in making data FAIR.
 
Keeping in mind that there is no â€˜one size fits allâ€™,  the consortium will focus on all scientific communities for supporting, creating, further developing and implementing a common scheme to ensure data development, wide uptake of and compliance with FAIR data principles and practices by data producers as well as national and European research data providers and repositories contributing to the EOSC. Furthermore, the consortium will closely collaborate with other relevant (global) projects and initiatives already on the way e.g. GO-FAIR, Research Data Alliance (RDA), World Data System (WDS), CODATA.
 
We will provide a platform for using and implementing the FAIR principles in the day to day work of national and European research data providers and repositories. The consortium cooperates with other projects that will be funded under the INFRAEOSC-05-2018 topic (e.g. the EOSC governance (5a) and where appropriate 5b, the projects funded in the INFRAEOSC-04-2018 topic (e.g. the ESFRI clusters SSHOC, PANOSC, ENVRI FAIR, ESCAPE and  EOSCLife) and with the EOSC coordination structure developed in the existing EOSC-pilot and EOSC-hub projects. 
 
According to the research data life cycle (planning/creating, processing, analysing, preserving and reuse) the consortium partners have defined goals, activities and outputs on 
- making data FAIR through research workflows
- ensuring long-term preservation of data
- making data FAIR through data curation
- improving accessibility of research data (e.g. legal barriers)
- improving findability of data through creation and interconnection of metadata catalogues
- curricula/education",[DATACITE â€“ INTERNATIONAL DATA CITATION INITIATIVE],DIRECT,RESEARCH & DEVELOPMENT
45,ukri________::fbc14c2f8a185ecb3459af19c3938fdb,"[""Dataverse""]","[""Harvard University (IQSS)""]",The Referendum on Scottish Independence: A Democratic Audit,"This project will provide a detailed analysis of the Scottish Government's proposal for independence and a democratic audit of the referendum process designed to offer this option to the Scottish people. The two dimensions are inextricably linked. Constitutional outcomes are shaped by the process that produces them and at the same time the legitimacy of any constitutional initiative is heavily dependent upon the fairness of the process that brings it about. 

There are significant gaps in the information available to policy makers and citizens at this crucial constitutional moment for Scotland. The project will provide policy-makers, civil society and citizens with clear and accessible explanations of what independence would mean for the ways in which they are governed. At the same time it will make recommendations for how best to engage citizens in the referendum process.

First, the project will ask: what does 'independence' mean, particularly in the context of a three hundred year union that has left the United Kingdom deeply integrated and in the context of an ever more expansive European Union? The Investigator will offer a Table of Powers and a fully searchable Dataverse of how the powers of the Scottish Parliament would change, in a format accessible to policy makers and non-specialists in civil society.

Secondly, the Investigator will assess the planned referendum process. From a recent major study (Tierney 2012) he will use the following principles to assess the fairness of the Scottish referendum: active citizen participation, inclusive of different voices and opinions; the provision of objective and non-partisan information to citizens and proper legal regulation of the referendum campaign; and the maximisation of satisfaction with the process by both winners and losers. The project will therefore contribute to the ESRC's strategic priority: 'A vibrant and fair society', by offering prescriptions as to how individuals and civil society in Scotland can most effectively make their voices heard in the current constitutional debate. 

The project will offer various outputs. It will lead to two high level academic articles in leading journals. It is, however, targeted primarily at policy-makers, civil society and citizens. The main outputs will be the Table of Powers and Dataverse; three one-day Workshops which will result in Reports aimed at policy makers and civil society; summarised Evidence Briefings targeted at interested citizens; and on-line Quizzes for interested citizens including school pupils to test their knowledge of the independence issue. 

The Workshops will be phased to inform various stages of the policy-making process and will be podcasted on the project Website: the first will be held to coincide with the Referendum Bill's introduction into the Scottish Parliament and will offer guidelines on how to design a deliberative referendum. The second will bring together experts on the constitution to consider the implications of independence for the United Kingdom and for Scotland's international status, again well in advance of the referendum; the third will seek to offer guidelines as to how the referendum process leading up to 2014 might be improved as the Scottish Government's Elections Team work on the details of the process and the Electoral Commission begins to assess these. The Website and a Blog will be established to disseminate results, host the Table of Powers, Dataverse and Quizzes.

As Director of the Edinburgh Centre for Constitutional Law and a founding co-ordinator of the Scottish Constitutional Futures Forum, the Investigator can offer high profile and well-resourced dissemination networks through which to deliver these outputs and, in particular, with which to engage extensively across Scottish and wider British policy-making and civil society sectors.",[University of Edinburgh],ADJACENT,ADJACENT
46,neh::PW-228212-15,"[""Fedora""]","[""Lyrasis""]",,"Language and Culture Archive of Ashkenazic Jewry: Digitizing the Data > Columbia University proposes a 2-year project to digitize data from the Language and Culture Archive of Ashkenazic Jewry, containing 140,000 pages of notes on the linguistic, cultural and social content of 600 interviews conducted in the 1960-70s with native Yiddish speakers. This will benefit users of Yiddish as a source for historical, literary or anthropological research, and linguists studying languages in contact and the evolution and differentiation of language communities. This project will: digitize the interview answer sheets and interview-data computer printouts, and carry out OCR and mark-up to enable searching and data manipulation; make the digitized content freely available on the Internet; ingest the files into the CUL/IS Fedora-based preservation repository; process correspondence and administrative papers, maps, draft manuscripts, and related materials, and create an EAD finding aid and collection-level MARC record.",Trustees of Columbia University in the City of New York,ADJACENT,ADJACENT
47,nih_________::e2ae3ee24a130c3fafbb51095f367d42,"[""Dataverse""]","[""Harvard University (IQSS)""]",The Harvard Dataverse repository: A generalist repository integrated with a Data Commons,,[HARVARD UNIVERSITY],DIRECT,OTHER
48,1900706,"[""arXiv""]","[""Cornell University""]",CNS Core: III: Medium: Collaborative Research: Optimizing and Understanding Large Parameter Spaces in Storage Systems,"Computer systems contain software which is becoming increasingly complex.  Complex software often includes many configurable parameters or knobs that can be adjusted to adjust performance and energy consumption.  As an example, a smartphone's settings include many on/off features and ""sliders"" one can adjust; but trying all the possible combinations to improve performance and reduce battery consumption is very time consuming.  This project aims to optimize computer systems by (1) automatically exploring many parameter combinations and (2) helping humans see visual indications of how these parameters work and better understand complex systems.&lt;br/&gt;&lt;br/&gt;This project will: (1) develop techniques to optimize storage systems, because they are the slowest part of any computer; (2) combine features from existing optimization and machine learning techniques; (3) improve the search for optimal settings by deciding when to stop and restart searching as well as considering the cost of changing system settings; (4) develop human driven visual techniques to explore extremely large sets of option combinations to better understand them and further direct the optimization process; and (5) evaluate all these techniques on real world storage systems.&lt;br/&gt;&lt;br/&gt;Computer storage systems are so complex that no human can fully optimize them, particularly when circumstances change.  This project will help automate the optimization of storage systems, improving their performance and energy use; advance the state of the art in hybrid optimization and machine learning techniques; develop and release interactive visualization systems that let humans understand, view, and direct a search process to promising directions; train and educate graduate and undergraduate students; and produce results that are applicable to other computer system optimization problems.&lt;br/&gt;&lt;br/&gt;The project's artifacts such as software, source code, data sets, and results are part of a system called ""Spectra"".  These artifacts will be made public through the project Website: https://www.filesystems.org/spectra. Results will be disseminated in peer-reviewed publications and on arxiv.org.   The data will be maintained for at least ten years following the end of the project.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",SUNY at Stony Brook,ADJACENT,ADJACENT
49,360g::360G-ArcadiaFund-4538,"[""Janeway""]","[""Birkbeck, University of London""]",Open Library of Humanities & Janeway,"To strengthen open access to scholarly work in the humanities disciplines, allowing everyone the freedom to access academic research.","Birkbeck, University of London",DIRECT,OTHER
50,imls:log_number::LG-72-18-0204-18,"[""Fedora""]","[""Lyrasis""]",,"DuraSpace will investigate barriers to upgrading unsupported versions of the Fedora repository platform used by approximately 240 libraries and archives in the United States. Use of unsupported versions puts the stability, security, and functionality of the content and services these institutions support at risk. This project will consult with an advisory board of stakeholders from the Islandora, Samvera, and Fedora communities; conduct an environmental scan of relevant community initiatives; and gather primary research data to inform recommendations for reducing barriers to upgrading. Project outputs will include user stories, an inventory of resources for upgrading, and recommendations for migration paths.","Fedora Commons, Inc.",DIRECT,RESEARCH & DEVELOPMENT
51,1257800,"[""Dryad""]","[""Dryad (independent 501(c)3)""]",Collaborative Research: Physiological genomics of color vision in butterflies,"Many toxic animals have bright warning colors to deter predators such as birds and lizards. Often a group of unrelated species mimic one another by sharing a single defensive pattern. For insects such as butterflies that use wing patterns to recognize their own species, especially when they are choosing mates, mimics of different species might be confusing. This group has recently found that the color vision of toxic passion vine or Heliconius butterflies of South and Central America is able to distinguish the Heliconius yellow wing pigments from those of their mimics, whereas the two types of yellow pigment produce colors that are indistinguishable for bird color vision.  This project will investigate the differences in color vision between species and sexes of Heliconius butterflies, using molecular, anatomical, biochemical, electrophysiological and next-generation sequencing methods. The resulting data and models of color vision will provide evidence on how color is used for both choosing mates and finding leaves on which to lay eggs and flowers to feed. This study will make predictions about Heliconius color vision that can be tested behaviorally. This research will reveal in unprecedented detail the evolution of color vision within a group of closely-related animals in relation to the signals they encounter in their daily lives. Whereas much is know about sexual differences in animal coloration, virtually nothing is known about sexual differences in color vision.  This is a major gap that can now be addressed. Spectral data resulting from this project will be deposited in the Dryad Data Repository http://datadryad.org/ and made freely available to the public. There will be training of a postdoc, graduate and undergraduate students in intracellular recording and anatomical methods, as well as in the analysis of next-generation sequencing data.  This research group will recruit undergraduate math and chemistry majors to analyze color reflectance spectra.",Princeton University,ADJACENT,ADJACENT
